NumEtu	Aladdin	Aliens : Le Retour	Arrête-moi si tu peux	Avengers: Endgame	Blade Runner	Braveheart	Coco	Django Unchained	Eternal Sunshine of the Spotless Mind	Fight Club	Forrest Gump	Full Metal Jacket	Gladiator	Inception	Indiana Jones et la dernière croisade	Interstellar	Joker	Jurassic Park	La cité de Dieu	La ligne verte	La vie est belle	Le Monde de Nemo	Le Prestige	Le Roi Lion	Le Seigneur des anneaux 1-3	Le château ambulant	Le fabuleux destin d'Amélie Poulain	Le loup de Wall Street	Le voyage de Chihiro	Les Indestructibles	Les évadés	Matrix	Memento	Monstres & Cie	Old Boy	Parasite	Pirates des Caraïbes	Pulp Fiction	Retour vers le futur	Seven	Shining	Sixième sens	Snatch - Tu braques ou tu raques	Star Wars 1-3	Star Wars 4-6	Terminator	The Big Lebowski	The Dark Knight	The Grand Budapest hotel	The Truman Show	Toy Story	Trainspotting	Un homme d'exception	Un jour sans fin	Usual Suspects	V pour vendetta	WALL·E	Will Hunting
19162570	-1	-1	3	-1	-1	3	-1	4	-1	4	2	4	3	2	1	4	-1	3	-1	2	-1	4	-1	4	5	-1	2	-1	5	2	-1	4	-1	2	-1	-1	3	4	2	-1	2	-1	5	4	5	-1	3	4	5	2	2	5	-1	-1	4	3	-1	1
565656	3	2	2	4	-1	-1	4	3	-1	3	2	-1	-1	2	-1	2	1	3	3	5	-1	3	3	2	2	3	4	-1	3	5	3	3	3	5	2	0	3	2	3	4	-1	-1	2	3	3	-1	2	3	4	4	4	-1	-1	-1	3	2	5	3
52000535	4	-1	5	4	-1	-1	3	-1	-1	5	4	-1	-1	5	-1	5	5	4	-1	5	-1	3	-1	3	4	5	-1	5	4	5	-1	-1	-1	4	-1	-1	5	-1	2	3	-1	3	-1	5	5	-1	-1	4	-1	4	4	-1	-1	-1	5	-1	5	-1
1234567890	-1	-1	3	-1	-1	3	-1	4	-1	3	-1	4	4	2	3	3	-1	3	-1	2	-1	3	-1	3	5	3	2	2	4	2	-1	3	-1	2	-1	-1	3	4	2	-1	2	-1	5	3	4	-1	3	4	5	2	2	5	-1	2	4	3	-1	1
2001490	3	2	4	5	-1	-1	5	-1	-1	-1	4	-1	-1	5	4	5	4	4	-1	4	-1	3	-1	3	5	5	-1	4	5	3	-1	4	-1	-1	-1	3	5	3	4	-1	-1	-1	-1	4	4	-1	-1	4	-1	-1	3	-1	-1	-1	-1	-1	3	-1
2101503	-1	-1	4	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	5	-1	5	4	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	4	4	-1	-1	-1	-1	2	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	3	-1
2101418	3	-1	4	3	5	-1	3	4	4	4	-1	4	-1	4	4	5	4	3	-1	4	-1	3	4	3	5	3	-1	4	4	4	-1	4	5	3	4	5	4	4	5	4	-1	3	4	4	4	4	-1	4	3	4	3	-1	-1	3	-1	-1	4	4
2101960	-1	-1	-1	5	5	-1	4	-1	-1		5	-1	-1	5	-1	5	5	3	-1	3	-1	3	-1	3	3	3	4	4	3	2	-1		2	3	-1	5	-1	-1	4	-1	-1	-1	-1	3	4	-1	-1	2	-1	3	2	-1	-1	-1	-1	-1	4	-1
2100148	4	2	-1	1	2	-1	3	-1	-1	-1	3	-1	-1	4	4	4	5	5	-1	-1	-1	4	-1	4	5	5	-1	4	4	2	-1	4	-1	5	-1	-1	3	2	4	-1	2	-1	-1	2	-1	-1	-1	4	-1	-1	4	-1	-1	-1	-1	-1	5	-1
22101831	-1	-1	-1	3	-1	-1	3	-1	-1	-1	-1	4	3	-1	4	4	5	4	-1	-1	-1	3	-1	3	5	5	-1	-1	5	3	-1	4	-1	3	-1	-1	4	-1	3	-1	3	-1	-1	5	5	3	-1	4	-1	-1	3	-1	-1	-1	-1	-1	4	-1
2100210	0	3	-1	3	-1	-1	-1	4	-1	-1	4	-1	-1	5	3	5	2	3	-1	-1	-1	2	-1	3	-1	3	-1	-1	-1	2	-1	-1	-1	3	-1	-1	3	-1	4	-1	4	-1	-1	-1	-1	-1	-1	4	-1	3	1	-1	-1	-1	-1	3	3	-1
22100128	-1	-1	-1	4	5	-1	3	-1	-1	-1	-1	-1	2	5	5	3	-1	4	-1	-1	-1	5	-1	4	5	5	-1	-1	5	3	-1	4	-1	4	-1	-1	5	4	5	-1	-1	-1	-1	5	5	3	-1	-1	-1	4	4	-1	-1	-1	-1	-1	5	-1
2000681	2	-1	-1	4	-1	-1	3	5	-1	4	5	-1	-1	5	-1	2	3	-1	-1	-1	-1	3	-1	5	4	4	-1	2	4	2	-1	2	-1	3	-1	-1	3	-1	5	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	5	2	-1	-1	-1	-1	-1	1	-1
2104100	3	-1	4	3	-1	-1	-1	5	-1	5	4	-1	-1	4	3	4	5	4	-1	-1	-1	3	-1	4	-1	-1	-1	5	4	3	-1	-1	4	3	-1	-1	4	4	4	-1	4	-1	-1	4	4	-1	-1	5	-1	5	3	-1	-1	-1	4	-1	4	-1
2100005	3	4	4	5	-1	-1	-1	-1	-1	3	5	-1	4	4	5	5	5	5	-1	-1	-1	5	-1	5	4	-1	2	5	5	5	-1	3	-1	-1	-1	-1	5	-1	3	-1	-1	-1	-1	5	5	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1
22001275	1	4	-1	3	-1	-1	-1	5	-1	3	-1	-1	4	4	-1	2	4	5	-1	5	-1	4	-1	4	5	4	-1	-1	4	4	-1	4	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	5	5	5	-1	5	-1	-1	0	-1	-1	-1	-1	-1	5	5
22102340	3	-1	4	4	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	3	-1	4	-1	5	-1	-1	5	4	-1	-1	-1	4	-1	-1	5	-1	5	-1	-1	-1	-1	5	5	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	5	-1
2102785	-1	-1	-1	-1	-1	-1	3	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	5	-1	5	-1	-1	-1	-1	-1	5	-1	-1	-1	5	-1	-1	5	-1	3	-1	-1	-1	-1	5	5	-1	2	4	-1	-1	5	-1	-1	-1	-1	-1	5	-1
2102273	2	2	4	3	4	-1	3	4	-1	3	5	-1	2	-1	2	5	5	4	-1	5	-1	3	-1	2	3	4	2	3	4	4	5	-1	-1	2	-1	-1	4	3	3	-1	-1	-1	-1	4	4	1	-1	1	-1	4	3	-1	-1	-1	-1	5	5	3
2100968	4	-1	-1	4	-1	-1	4	-1	-1	4	5	-1	-1	-1	4	5	4	5	-1	5	-1	4	-1	5	4	5	5	-1	-1	5	5	-1	-1	5	-1	-1	4	-1	5	4	-1	5	-1	5	5	3	-1	3	-1	-1	5	-1	-1	-1	-1	-1	5	-1
22101068	3	-1	-1	5	-1	-1	-1		-1	5	4	4	-1	-1	5	5	4	4	-1	-1	-1	3	-1	3	-1	4	-1	4	4	3	-1	4	-1	4	-1	-1	3	-1	4	-1	3	-1	-1	4	5	3	-1	4	-1	5	3	-1	-1	-1	-1	-1	4	-1
24012905	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	-1	-1	-1	-1	-1	-1	-1	3	4	4	2	5	-1	-1	4	5	-1	3	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	5	-1	-1	-1	-1	-1	5	-1	-1	-1
15648945	3	2	4	2	-1	2	5	3	-1	5	4	-1	3	4	4	3	3	5	-1	5	-1	4	-1	4	5	3	-1	3	4	3	-1	3	-1	2	-1	4	4	4	3	-1	3	-1	-1	4	4	2	-1	3	4	-1	3	-1	-1	-1	-1	3	4	-1
22100340	2	-1	4	4	3	-1	-1	-1	-1	5	4	4	3	5	3	4	4	3	-1	3	-1	1	-1		5	-1	-1	5	2	1	-1	3	-1	2	-1	2	4	-1	3	2	-1	-1	-1	3	4	3	4	4	-1	3	2	-1	-1	3	-1	-1	2	4
22102066	3	2	4	5	5	2	5	-1	-1	5	5	3	4	5	5	5	5	5	2	4	-1	2	2	3	1	4	2	5	5	4	5	5	-1	4	-1	-1	5	5	5	-1	2	-1	-1	5	5	2	-1	4	-1	2	3	-1	-1	3	-1	-1	5	2
2100314	-1	-1	-1	5	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1
22101967	2	-1	-1	5	-1	-1	4	4	-1	-1	3	-1	-1	-1	5	5	5	5	-1	4	-1	5	-1	5	5	4	3	-1	4	4	5	3	-1	4	-1	-1	5	-1	2	-1	-1	-1	-1	5	5	-1	-1	5	-1	5	5	-1	-1	-1	-1	-1	5	-1
2101484	-1	-1	-1	-1	4	-1	-1	4	-1	3	5	5	-1	3	-1	3	-1	-1	-1	5	-1	2	-1	-1	5	5	-1	-1	5	5	-1	4	-1	3	-1	-1	4	4	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	1	4	-1
2101102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2101378	4	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	4	5	4	5	5	3	-1	-1	-1	4	-1	5	5	-1	-1	-1	4	4	-1	4	-1	3	-1	-1	3	-1	4	-1	-1	-1	-1	5	5	-1	-1	5	-1	-1	3	-1	-1	-1	-1	-1	4	-1
2103841	-1	3	-1	4	-1	-1	-1	-1	-1	5	-1	-1	4	-1	3	5	5	5	-1	5	-1	3	5	3	4	-1	-1	-1	-1	-1	4	3	-1	-1	-1	-1	4	-1	2	-1	-1	3	-1	3	3	3	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	3	-1
2100637	3	-1	-1	-1	-1	-1	3	-1	-1	4	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1
2100863	-1	-1	5	3	4	3	-1	4	4	5	3	-1	-1	5	-1	5	-1	3	-1	5	-1	4	-1	4	4	-1	-1	4	-1	4	-1	4	5	4	0	0	2	0	5	5	-1	-1	-1	5	5	3	-1	4	-1	4	4	0	0	0	0	0	5	0
2102773	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	5	4	2	-1	-1	-1	3	-1	3	-1	-1	-1	-1	-1	3	-1	2	-1	3	-1	5	3	-1	4	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1
22103219	3	-1	5	4	2	-1	-1	5	-1	5	4	-1	-1	5	3	5	-1	-1	-1	-1	4	3	3	3	-1	-1	-1	5	-1	2	5	4	4	2	-1	0	3	4	4	5	4	-1	-1	4	3	2	-1	-1	-1	5	3	-1	-1	-1	-1	-1	4	4
2102312	4	4	-1	3	-1	5	4	4	-1	-1	5	-1	5	4	4	-1	5	4	-1	5	-1	3	-1	4	5	-1	4	-1	4	3	-1	3	-1	-1	4	5	4	4	4	-1	-1	-1	4	3	4	3	-1	-1	4	-1	4	-1	-1	-1	-1	-1	4	-1
202311281057	1	5	5	1	5			4	4	5	3	4	4	5	4	5	3	5	3	4	2	2	5	2	5	2	2	5	2	2	3	5	4	3	3	3	3	5	5	4	3	5	5	5	5	5	3	3	3	5		5	3	3	5	5	4	3
2003024	2	-1	-1	5	5	-1	-1	-1	-1	3	5	4	3	5	3	5	5	5	-1	-1	-1	3	-1	4	5	-1	2	4	3	4	-1	5	-1	4	-1	2	5	5	5	3	3	-1	-1	5	5	2	-1	-1	-1	4	5	-1	-1	-1	-1	-1	4	-1
202311281122	4	-1	5	-1	-1	4	5	-1	5	-1	5	3	-1	-1	2	2	-1	2	-1	1	-1	5	-1	-1	3	5	4	5	5	4	-1	0	-1	4	-1	-1	4	-1	3	-1	-1	5	-1	3	3	2	-1	-1	5	5	5	-1	-1	5	-1	-1	5	-1
202311281202	-1	3	-1	-1	5	1	1	5	-1	1	4	5	3	4	3	5	5	4	-1	3	5	1	-1	1	1	-1	3	3	-1	-1	-1	5	-1	-1	-1	3	1	5	5	5	5	5	-1	2	2	5	5	-1	-1	-1	3	5	-1	5	5	-1	-1	3
202311281100	-1	1	2	-1	3	-1	-1	-1	5	3	4	-1	4	4	-1	5	-1	3	-1	4	5	4	4	3	5	5	5	-1	5	4	4	5	-1	5	-1	4	5	-1	3	-1	-1	3	-1	4	5	4	-1	1	4	3	2	-1	3	4	3	5	1	-1
2103003	-1	-1	4	3	-1	-1	2	4	-1	2	3	-1	1	2	0	5	4	1	-1	-1	-1	2	-1	3	1	2	1	4	3	1	3	1	-1	3	-1	-1	2	1	2	-1	-1	-1	-1	3	2	0	-1	4	3	3	2	-1	-1	-1	-1	-1	3	-1
22102777	4	-1	-1	4	-1	-1	-1	4	-1	5	4	-1	5	5	5	4	4	5	4	4	-1	4	-1	-1	-1	-1	-1	5	4	4	-1	5	-1	-1	-1	-1	5	-1	5	-1	-1	4	4	4	4	5	-1	-1	-1	-1	4	-1	-1	4	-1	-1	5	4
22100893	3	-1	-1	1	-1	-1	4	5	-1	5	-1	-1	-1	4	-1	3	4	3	-1	5	-1	5	-1	-1	5	-1	-1	-1	5	4	-1	2	-1	5	-1	-1	5	1	5	-1	3	-1	-1	4	4	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	5	-1
2101359	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1	-1	4	-1	4	-1	-1	-1	-1	-1	2	-1	-1	-1	5	-1	-1	4	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	5	-1	-1	-1	-1	-1	5	-1
2000892	-1	-1	-1	4	5	-1	-1	-1	-1	-1	5	-1	3	-1		4	-1	3	-1	-1	-1	2	-1	2	5	5	-1	4	5	2	-1	5	-1	-1	-1	-1	3	-1	4	-1	-1	-1	-1	4	4	5	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	3	-1
22102105	3	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	5	5	3	5	5	2	-1	-1	-1	3	-1	4	-1	-1	-1	-1	-1	2	-1	-1	-1	3	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	2	3	-1	-1	-1	-1	-1	4	-1
202311291033	-1	4	-1	-1	-1	3	-1	-1	-1	-1	5	2	3	-1	1	-1	-1	1	-1	-1	4	4	-1	3	2	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	2	-1	3	5	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1
22100692	3	4	-1	3	-1	2	3	5	-1	5	4	-1	3	-1	3	4	-1	5	-1	4	-1	3	-1	4	-1	-1	-1	3	-1	4	-1	4	-1	4	-1	-1	5	3	4	-1	-1	-1	-1	4	3	4	-1	3	-1	-1	5	-1	-1	-1	-1	-1	3	-1
2100224	0	4	5	3	5	-1	4	5	-1	5	4	4	4	4	5	5	5	3	-1	4	-1	4	-1	4	5	3	4	4	4	4	-1	5	-1	5	-1	4	4	4	3	-1	4	-1	5	5	5	3	-1	4	-1	4	5	-1	-1	4	-1	-1	5	-1
2101053	4	-1	-1	4	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	3	-1	4	-1	-1	3	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	4	-1
2000936	-1	-1		2	-1	-1	1	-1	-1	-1	-1	-1	3	-1	4	1	4	3	-1	-1	-1	3		4	5	-1	-1	-1	-1	4	-1	3	-1	2	-1	-1	-1	-1	3	-1	-1	-1	-1	4	0	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	4	-1
